created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Mar 11 23:09:06 +0000 2023;1634692957302575105;"@FOOD_FESS gue jualan air aqua lg merknya cuma 5k ajaa di konser blackpink ini mahal amat anjr lu beli sebelah mana nderrrr mending beli di gue ajaaa😭";0;3;0;1;in;1014743994260021248;1634614303616827395;yomarkliii;https://twitter.com/yomarkliii/status/1634692957302575105
Sat Mar 11 23:09:01 +0000 2023;1634692934695280640;"ya emg dr andante ke aula simfonia jakarta 10 min tp kalo ad konser blackpink...";0;1;0;0;in;1535101793130397696;1634692780802076673;natgeografik;https://twitter.com/natgeografik/status/1634692934695280640
Sat Mar 11 23:08:52 +0000 2023;1634692895906344961;"°•¤ Noera Collagen Drink .•°¤*   IDR 105K only (nett) ‼️  #Birdnest #Saffron #Minuman #Kolagen #Pemutih Badan #Suplemen #PemutihKulit #BPOM | Premium #Collagen Drink tag thfrift jisoo rose jennie lisa blink blackpink wtb exo sehun suho lay kyungsoo chanyeol kai chen xiumin https://t.co/Lt4CkIDmQh";0;0;0;0;in;1634488521103925248;1634692895906344961;powlypopsx;https://twitter.com/powlypopsx/status/1634692895906344961
Sat Mar 11 23:08:51 +0000 2023;1634692894945873921;"Siapa yg nonton blackpink jalur instastory? Saya saya sayaaaa";0;1;0;0;in;1584065405340950528;1634692894945873921;socobutterfly8_;https://twitter.com/socobutterfly8_/status/1634692894945873921
Sat Mar 11 23:08:43 +0000 2023;1634692859952758784;"WTB TIKET BLACKPINK  CAT 4 BUTUH 2 TIKET, KALO BISA YANG SEBELAHAN. COD VENUE #BORNPINKinJAKARTA #BLACKPINKinJAKARTA  #wtbbornpinkjakarta";0;1;0;0;in;548282302;1634692859952758784;yumyyummy;https://twitter.com/yumyyummy/status/1634692859952758784
Sat Mar 11 23:08:39 +0000 2023;1634692842324107264;"@snowpurply kak makasi bangeet setidaknya aku pernah ada harapan nonto konser blackpink karna dapat tweet kakak yg tiba2 lewat ngadain ga tiket bp, semisal yang dapat tiketnya orang lain selamat yaa kaliaan nantii semoga bener2 menikmati konsernya 🖤💖, karnaa banyak juga ternyata yang ikut-";0;1;0;0;in;1259783504826494977;1634474606781431808;nabelapm;https://twitter.com/nabelapm/status/1634692842324107264
Sat Mar 11 23:06:19 +0000 2023;1634692255037669377;"Penampilan memukau dari #BLACKPINK saat membawakan lagu Kill This Love  #BLACKPINK_WORLDTOUR #BLACKPINKinJAKARTA #BLACKPINKinJKT #KillThisLove https://t.co/vVD196ZyOz";0;0;3;6;in;902837643024539651;1634692255037669377;medcom_id;https://twitter.com/medcom_id/status/1634692255037669377
Sat Mar 11 23:06:08 +0000 2023;1634692210187972608;"@ganjarpranowo @jokowi @_DeepPurple Ndak nonton blackpink pk gub?";0;0;0;0;in;226834408;1634438582160207872;imloveddearly;https://twitter.com/imloveddearly/status/1634692210187972608
Sat Mar 11 23:05:54 +0000 2023;1634692152386293760;"kalo gini mending nonton blackpink di youtube";0;1;1;1;in;1006508366313615360;1634692152386293760;cloddre;https://twitter.com/cloddre/status/1634692152386293760
Sat Mar 11 23:05:36 +0000 2023;1634692075315933184;"BLACKPINK tampil enerjik sapa BLINK di Jakarta - Portal Berita Singgalang https://t.co/j2nEsX3r5R";0;0;0;0;in;741173384;1634692075315933184;InfoJktCom;https://twitter.com/InfoJktCom/status/1634692075315933184
