source,target,links
𝖓, \xf0\x9f\x8f\x86#2021\xed\x95\x9c\xed\x84\xb0\xeb\xae\xa4\xec\xa7\x81\xec\x96\xb4\xec\x9b\x8c\xec\xa6\x88\n\xf0\x9f\x8f\x86#2021HanteoMusicAwards\n\n#ArtistAward\xf0\x9f\x8f\x86 #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81\xf0\x9f\x8f\x86\nFemale Solo TOP 3\n\n\xf0\x9f\x8f\x86\xeb\xa6\xac\xec\x82\xac #LISA @BLACKPINK\n\n\xec\x88\x98\xec\x83\x81\xec\x9d\x84 \xec\xa7\x84\xec\x8b\xac\xec\x9c\xbc\xeb\xa1\x9c \xec\xb6\x95\xed\x95\x98\xeb\x93\x9c\xeb\xa6\xbd\xeb\x8b\x88\xeb\x8b\xa4\xf0\x9f\x8e\x89\xe2\x80\xa6',1
Sql_xq, Song of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LISA\nTOP 20 Songs of the Year - LALISA\nTOP 20 Albums of the Year - LALIS\xe2\x80\xa6',1
my boo:) :) :)👸💙💙🐦💧💦🍈🍉🍓🍓," ""LALISA"" by #LISA won as SONG OF THE YEAR (Overseas) at this year\'s Asian Pop Music Awards! \n\nCongratulations LISA! \xe2\x9c\xa8\n\n LALI\xe2\x80\xa6'",1
𝖒𝖎𝖉𝖓𝖎𝖌𝖍𝖙❤️‍🔥," ""LALISA"" by #LISA won as SONG OF THE YEAR (Overseas) at this year\'s Asian Pop Music Awards! \n\nCongratulations LISA! \xe2\x9c\xa8\n\n LALI\xe2\x80\xa6'",1
Lali Kyn, \xf0\x9f\x8f\x86#2021\xed\x95\x9c\xed\x84\xb0\xeb\xae\xa4\xec\xa7\x81\xec\x96\xb4\xec\x9b\x8c\xec\xa6\x88\n\xf0\x9f\x8f\x86#2021HanteoMusicAwards\n\n#ArtistAward\xf0\x9f\x8f\x86 #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81\xf0\x9f\x8f\x86\nFemale Solo TOP 3\n\n\xf0\x9f\x8f\x86\xeb\xa6\xac\xec\x82\xac #LISA @BLACKPINK\n\n\xec\x88\x98\xec\x83\x81\xec\x9d\x84 \xec\xa7\x84\xec\x8b\xac\xec\x9c\xbc\xeb\xa1\x9c \xec\xb6\x95\xed\x95\x98\xeb\x93\x9c\xeb\xa6\xbd\xeb\x8b\x88\xeb\x8b\xa4\xf0\x9f\x8e\x89\xe2\x80\xa6',1
YOUNG RO IN YOUR AREA, #LISA bags 4 wins at the Asian Pop Music Awards 2021.\n\n(OVERSEAS)\nSong of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LI\xe2\x80\xa6',1
AeiEcho, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
hchxe, Just imagining how wild and legendary Lisa\xe2\x80\x99s first stage performance of MONEY will be! \n\nCONGRATULATIONS LISA\nLALISA APMA SO\xe2\x80\xa6',1
p1511at," ""LALISA"" by #LISA won as SONG OF THE YEAR (Overseas) at this year\'s Asian Pop Music Awards! \n\nCongratulations LISA! \xe2\x9c\xa8\n\n LALI\xe2\x80\xa6'",1
ori, \xf0\x9f\x8f\x86 | Congratulations #LISA for winning 4 awards at the Asian Pop Music Awards 2021.\n\n\xf0\x9f\x8f\x86 Song Of The Year\n\xf0\x9f\x8f\x86 Top 20 Albums O\xe2\x80\xa6',1
Haven, Can I get 50 replies?\n\nCONGRATULATIONS LISA\nLALISA APMA SOTY\n#VoteLISAforSMA',1
Lord Lego✨, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
GL-alisa❄️SNOWDROP, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
hchxe," ""LALISA"" by #LISA won as SONG OF THE YEAR (Overseas) at this year\'s Asian Pop Music Awards! \n\nCongratulations LISA! \xe2\x9c\xa8\n\n LALI\xe2\x80\xa6'",1
yani❤️‍🔥, Can I get 50 replies?\n\nCONGRATULATIONS LISA\nLALISA APMA SOTY\n#VoteLISAforSMA',1
SAY LALISA :), LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
yani❤️‍🔥, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
lalisa :), Congratulations LISA\xf0\x9f\x8e\x89\xf0\x9f\x8e\x89\xf0\x9f\x8e\x89  #LISA #LALISA #BLACKPINK #\xeb\xa6\xac\xec\x82\xac #\xeb\xb8\x94\xeb\x9e\x99\xed\x95\x91\xed\x81\xac @BLACKPINK https,1
lalaa," ""LALISA"" by #LISA won as SONG OF THE YEAR (Overseas) at this year\'s Asian Pop Music Awards! \n\nCongratulations LISA! \xe2\x9c\xa8\n\n LALI\xe2\x80\xa6'",1
·͜·♡น้องไลลา 🎄," ""LALISA"" by #LISA won as SONG OF THE YEAR (Overseas) at this year\'s Asian Pop Music Awards! \n\nCongratulations LISA! \xe2\x9c\xa8\n\n LALI\xe2\x80\xa6'",1
Bryan Moreta, \xf0\x9f\x8f\x86 | Congratulations #LISA for winning 4 awards at the Asian Pop Music Awards 2021.\n\n\xf0\x9f\x8f\x86 Song Of The Year\n\xf0\x9f\x8f\x86 Top 20 Albums O\xe2\x80\xa6',1
𝐱𝐱𝐥𝐢𝐥𝐜𝐡𝐮 ♡ 𝑴𝒐𝒏𝒆𝒚, Song of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LISA\nTOP 20 Songs of the Year - LALISA\nTOP 20 Albums of the Year - LALIS\xe2\x80\xa6',1
ppeuppeuluvme," ""LALISA"" by #LISA won as SONG OF THE YEAR (Overseas) at this year\'s Asian Pop Music Awards! \n\nCongratulations LISA! \xe2\x9c\xa8\n\n LALI\xe2\x80\xa6'",1
Lily_Sup," LISA bags a total of 4 awards at APMA 2021! \xf0\x9f\x8f\x86\n\n- Song of the Year ""LALISA"" \n- Top 20 Albums of the Year ""LALISA""\n- Top 20\xe2\x80\xa6'",1
🥀, \xf0\x9f\x8f\x86#2021\xed\x95\x9c\xed\x84\xb0\xeb\xae\xa4\xec\xa7\x81\xec\x96\xb4\xec\x9b\x8c\xec\xa6\x88\n\xf0\x9f\x8f\x86#2021HanteoMusicAwards\n\n#ArtistAward\xf0\x9f\x8f\x86 #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81\xf0\x9f\x8f\x86\nFemale Solo TOP 3\n\n\xf0\x9f\x8f\x86\xeb\xa6\xac\xec\x82\xac #LISA @BLACKPINK\n\n\xec\x88\x98\xec\x83\x81\xec\x9d\x84 \xec\xa7\x84\xec\x8b\xac\xec\x9c\xbc\xeb\xa1\x9c \xec\xb6\x95\xed\x95\x98\xeb\x93\x9c\xeb\xa6\xbd\xeb\x8b\x88\xeb\x8b\xa4\xf0\x9f\x8e\x89\xe2\x80\xa6',1
ss | lisa au 📌, #LISA bags 4 wins at the Asian Pop Music Awards 2021.\n\n(OVERSEAS)\nSong of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LIS\xe2\x80\xa6',1
POLISA👩🏼‍💼," Congratulations\xf0\x9f\x8e\x89\xf0\x9f\x8e\x89\n\n#LISA won ""SONG OF THE YEAR"" with \'LALISA\' at the Asian Pop Music Awards 2021.\n\n\xeb\xb8\x94\xeb\x9e\x99\xed\x95\x91\xed\x81\xac \xeb\xa6\xac\xec\x82\xac \n#LISA  #\xeb\xa6\xac\xec\x82\xac #L\xe2\x80\xa6'",1
SNOWDROP❄1218, Lisa and Ros\xc3\xa9 both won 4 awards at the Asian Pop Music Awards 2021. Congratulations Girls well deserved @BLACKPINK https,1
Closed :), LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
@ChiLiManSé," ""LALISA"" by #LISA won as SONG OF THE YEAR (Overseas) at this year\'s Asian Pop Music Awards! \n\nCongratulations LISA! \xe2\x9c\xa8\n\n LALI\xe2\x80\xa6'",1
(/ᐠ-ⱉ-ᐟ\ﾉ หิวชาบู, Lisa and Ros\xc3\xa9 both won 4 awards at the Asian Pop Music Awards 2021. Congratulations Girls well deserved @BLACKPINK https,1
♡𝘕𝘨𝘢𝘯𝘮𝘪𝘶𝘴𝘪𝘤.𝘵𝘬𝘴𐤀, \xf0\x9f\x8f\x86#2021\xed\x95\x9c\xed\x84\xb0\xeb\xae\xa4\xec\xa7\x81\xec\x96\xb4\xec\x9b\x8c\xec\xa6\x88\n\xf0\x9f\x8f\x86#2021HanteoMusicAwards\n\n#ArtistAward\xf0\x9f\x8f\x86 #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81\xf0\x9f\x8f\x86\nFemale Solo TOP 3\n\n\xf0\x9f\x8f\x86\xeb\xa6\xac\xec\x82\xac #LISA @BLACKPINK\n\n\xec\x88\x98\xec\x83\x81\xec\x9d\x84 \xec\xa7\x84\xec\x8b\xac\xec\x9c\xbc\xeb\xa1\x9c \xec\xb6\x95\xed\x95\x98\xeb\x93\x9c\xeb\xa6\xbd\xeb\x8b\x88\xeb\x8b\xa4\xf0\x9f\x8e\x89\xe2\x80\xa6',1
lalisa :), \xf0\x9f\x8f\x86 | #LISA\xe2\x80\x99s \xe2\x80\x9cLALISA\xe2\x80\x9d has won SONG OF THE YEAR at the Asian Pop Music Awards 2021. \n\nCONGRATULATIONS LISA!\n#BLACKPINK #\xe2\x80\xa6',1
e; snowdrop ❄️, \xf0\x9f\x8f\x86 | Congratulations #LISA for winning 4 awards at the Asian Pop Music Awards 2021.\n\n\xf0\x9f\x8f\x86 Song Of The Year\n\xf0\x9f\x8f\x86 Top 20 Albums O\xe2\x80\xa6',1
cega," Lisa bagged 4 awards today, including Song Of The Year. I love when the kpop global IT girl continues globaling non stop!\xe2\x80\xa6'",1
;, CONGRATULATIONS #ROS\xc3\x89 &amp; #LISA for winning Best Female Solo #ArtistAward  #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81 on #2021HanteoMusicAwards! \xf0\x9f\x8f\x86\n\n#BLACKPI\xe2\x80\xa6',1
Youngro❄️, Lisa and Ros\xc3\xa9 both won 4 awards at the Asian Pop Music Awards 2021. Congratulations Girls well deserved @BLACKPINK https,1
Lily_Sup, \xf0\x9f\x8f\x86#2021\xed\x95\x9c\xed\x84\xb0\xeb\xae\xa4\xec\xa7\x81\xec\x96\xb4\xec\x9b\x8c\xec\xa6\x88\n\xf0\x9f\x8f\x86#2021HanteoMusicAwards\n\n#ArtistAward\xf0\x9f\x8f\x86 #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81\xf0\x9f\x8f\x86\nFemale Solo TOP 3\n\n\xf0\x9f\x8f\x86\xeb\xa6\xac\xec\x82\xac #LISA @BLACKPINK\n\n\xec\x88\x98\xec\x83\x81\xec\x9d\x84 \xec\xa7\x84\xec\x8b\xac\xec\x9c\xbc\xeb\xa1\x9c \xec\xb6\x95\xed\x95\x98\xeb\x93\x9c\xeb\xa6\xbd\xeb\x8b\x88\xeb\x8b\xa4\xf0\x9f\x8e\x89\xe2\x80\xa6',1
ชั้นคือประธานบริษัท🦭, \xf0\x9f\x8f\x86 | Congratulations #LISA for winning 4 awards at the Asian Pop Music Awards 2021.\n\n\xf0\x9f\x8f\x86 Song Of The Year\n\xf0\x9f\x8f\x86 Top 20 Albums O\xe2\x80\xa6',1
❤️💚💜💛LlaliS$a'$ Eomma❤️💚💜💛, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
𝐿𝒾𝓁𝒾 ⭐, LALISA by #LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! We are very proud of you Queen L. \xf0\x9f\x91\xb8\n\nCo\xe2\x80\xa6',1
:) helloyellow⁰³²⁷," ""LALISA"" by #LISA won as SONG OF THE YEAR (Overseas) at this year\'s Asian Pop Music Awards! \n\nCongratulations LISA! \xe2\x9c\xa8\n\n LALI\xe2\x80\xa6'",1
ela erin, \xf0\x9f\x93\xa3 Asian Pop Music Awards 2021\n\n\xf0\x9f\x8f\x86 Song of the Year - LALISA by LISA\n\nCongratulations!\n\nLALISA APMA SOTY \n#VoteLISAforSMA ht\xe2\x80\xa6',1
*****L*****, Always proud of you!\n\nCONGRATULATIONS LISA\nLALISA APMA SOTY\n#VoteLISAforSMA https,1
Al, CONGRATULATIONS #ROS\xc3\x89 &amp; #LISA for winning Best Female Solo #ArtistAward  #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81 on #2021HanteoMusicAwards! \xf0\x9f\x8f\x86\n\n#BLACKPI\xe2\x80\xa6',1
Lisa's Lilie 💕💋🐈😻🐈💋💕 - GoGo Cat⁰³²⁷," Lisa bagged 4 awards today, including Song Of The Year. I love when the kpop global IT girl continues globaling non stop!\xe2\x80\xa6'",1
ori, LISA has won SONG OF THE YEAR for LALISA and ROS\xc3\x89 has won BEST MUSIC VIDEO for On The Ground at the Asian Pop Music Award\xe2\x80\xa6',1
-R-, Lisa and Ros\xc3\xa9 both won 4 awards at the Asian Pop Music Awards 2021. Congratulations Girls well deserved @BLACKPINK https,1
Nadanadanada," CONGRATULATIONS My LOVE 4 awards at APMA 2021! \xf0\x9f\x8f\x86\xf0\x9f\x8f\x86\xf0\x9f\x8f\x86\xf0\x9f\x8f\x86\n\n- Song of the Year ""LALISA"" \n- Top 20 Albums of the Year ""LALISA""\n- Top 2\xe2\x80\xa6'",1
pasta pa-R-k _L.A.L.I.S.A⁷¹²¹⁷⁸, Lisa and Ros\xc3\xa9 both won 4 awards at the Asian Pop Music Awards 2021. Congratulations Girls well deserved @BLACKPINK https,1
*****L*****, Congratulations to our Queen Lisa! \n\nLALISA APMA SOTY\n#VoteLISAforSMA #LISA #LALISA https,1
◡̈, Song of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LISA\nTOP 20 Songs of the Year - LALISA\nTOP 20 Albums of the Year - LALIS\xe2\x80\xa6',1
𝖒𝖎𝖉𝖓𝖎𝖌𝖍𝖙❤️‍🔥," LALISA by LISA has won ""SONG OF THE YEAR"" (Overseas) at the Asian Pop Music Awards 2021! \n\nCongratulations LISA\xf0\x9f\x91\x91 \xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xa5\xb3\xf0\x9f\x8e\x89\n@BL\xe2\x80\xa6'",1
Lalala :), Asian Pop Music Awards 2021 \n\nSong of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LISA\nTOP 20 Songs of the Year - LALISA\nT\xe2\x80\xa6',1
Angie 🇨🇴, \xf0\x9f\x8f\x86#2021\xed\x95\x9c\xed\x84\xb0\xeb\xae\xa4\xec\xa7\x81\xec\x96\xb4\xec\x9b\x8c\xec\xa6\x88\n\xf0\x9f\x8f\x86#2021HanteoMusicAwards\n\n#ArtistAward\xf0\x9f\x8f\x86 #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81\xf0\x9f\x8f\x86\nFemale Solo TOP 3\n\n\xf0\x9f\x8f\x86\xeb\xa6\xac\xec\x82\xac #LISA @BLACKPINK\n\n\xec\x88\x98\xec\x83\x81\xec\x9d\x84 \xec\xa7\x84\xec\x8b\xac\xec\x9c\xbc\xeb\xa1\x9c \xec\xb6\x95\xed\x95\x98\xeb\x93\x9c\xeb\xa6\xbd\xeb\x8b\x88\xeb\x8b\xa4\xf0\x9f\x8e\x89\xe2\x80\xa6',1
ลลิสา♡︎, Song of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LISA\nTOP 20 Songs of the Year - LALISA\nTOP 20 Albums of the Year - LALIS\xe2\x80\xa6',1
cxlyn, Lisa and Ros\xc3\xa9 both won 4 awards at the Asian Pop Music Awards 2021. Congratulations Girls well deserved @BLACKPINK https,1
mint, @LISANATIONS_ CONGRATULATIONS LISA\nLALISA APMA SOTY\n#VoteLISAforSMA https,1
americanoo," LISA bags a total of 4 awards at APMA 2021! \xf0\x9f\x8f\x86\n\n- Song of the Year ""LALISA"" \n- Top 20 Albums of the Year ""LALISA""\n- Top 20\xe2\x80\xa6'",1
:)LS💫Ⓜ️(✯ᴗ✯)🌻531717, \xf0\x9f\x93\xa3 Asian Pop Music Awards 2021\n\n\xf0\x9f\x8f\x86 Song of the Year - LALISA by LISA\n\nCongratulations!\n\nLALISA APMA SOTY \n#VoteLISAforSMA ht\xe2\x80\xa6',1
Ratti love Lisa 0327, CONGRATULATIONS #LISA\n #\xe0\xb8\xa5\xe0\xb8\xb4\xe0\xb8\x8b\xe0\xb9\x88\xe0\xb8\xb2 #LALISA #BLACKPINK @BLACKPINK https,1
สะมะกิ๊งกุ๊งกิ๊ง~, \xf0\x9f\x93\xa3 Asian Pop Music Awards 2021\n\n\xf0\x9f\x8f\x86 Song of the Year - LALISA by LISA\n\nCongratulations!\n\nLALISA APMA SOTY \n#VoteLISAforSMA ht\xe2\x80\xa6',1
Lei saw NWH (Taylor's Version)," Lisa bagged 4 awards today, including Song Of The Year. I love when the kpop global IT girl continues globaling non stop!\xe2\x80\xa6'",1
She's Queen LISA ❤️‍🔥, #LISA bags 4 wins at the Asian Pop Music Awards 2021.\n\n(OVERSEAS)\nSong of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LI\xe2\x80\xa6',1
Sai, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
Srawut Ariyakannon, OMFG LALISA WON SONG OF THE YEAR (overseas) for ASIAN POP MUSIC AWARD 2021! Congratulations Lisa! \n\n#LISA #money #SG http\xe2\x80\xa6',1
♡𝘕𝘨𝘢𝘯𝘮𝘪𝘶𝘴𝘪𝘤.𝘵𝘬𝘴𐤀, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
Ŕ, LISA has won SONG OF THE YEAR for LALISA and ROS\xc3\x89 has won BEST MUSIC VIDEO for On The Ground at the Asian Pop Music Award\xe2\x80\xa6',1
lalisa :)," Congratulations to #LISA for winning ""Song of the Year (Overseas)"" for \'LALISA\' at the Asian Pop Music Awards 2021.\n\n\xeb\xb8\x94\xe2\x80\xa6'",1
Angie 🇨🇴, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
ola🍬, \xf0\x9f\x8f\x86#2021\xed\x95\x9c\xed\x84\xb0\xeb\xae\xa4\xec\xa7\x81\xec\x96\xb4\xec\x9b\x8c\xec\xa6\x88\n\xf0\x9f\x8f\x86#2021HanteoMusicAwards\n\n#ArtistAward\xf0\x9f\x8f\x86 #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81\xf0\x9f\x8f\x86\nFemale Solo TOP 3\n\n\xf0\x9f\x8f\x86\xeb\xa6\xac\xec\x82\xac #LISA @BLACKPINK\n\n\xec\x88\x98\xec\x83\x81\xec\x9d\x84 \xec\xa7\x84\xec\x8b\xac\xec\x9c\xbc\xeb\xa1\x9c \xec\xb6\x95\xed\x95\x98\xeb\x93\x9c\xeb\xa6\xbd\xeb\x8b\x88\xeb\x8b\xa4\xf0\x9f\x8e\x89\xe2\x80\xa6',1
Lei saw NWH (Taylor's Version), \xf0\x9f\x8f\x86 | Congratulations #LISA for winning 4 awards at the Asian Pop Music Awards 2021.\n\n\xf0\x9f\x8f\x86 Song Of The Year\n\xf0\x9f\x8f\x86 Top 20 Albums O\xe2\x80\xa6',1
แอคนี้เอาไว้รีทวิต, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
Bryan Moreta, LISA has won SONG OF THE YEAR for LALISA and ROS\xc3\x89 has won BEST MUSIC VIDEO for On The Ground at the Asian Pop Music Award\xe2\x80\xa6',1
LALISA⁸, Asian Pop Music Awards 2021 \n\nSong of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LISA\nTOP 20 Songs of the Year - LALISA\nT\xe2\x80\xa6',1
ORDINARY.K, #LISA bags 4 wins at the Asian Pop Music Awards 2021.\n\n(OVERSEAS)\nSong of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LIS\xe2\x80\xa6',1
L..J..L.., Congratulations Lisa! \n\nLALISA APMA SOTY \n#VoteLISAforSMA https,1
💛💜_JKLM_♡LS1⁰³²⁷JJK1𝄞, \xf0\x9f\x8f\x86#2021\xed\x95\x9c\xed\x84\xb0\xeb\xae\xa4\xec\xa7\x81\xec\x96\xb4\xec\x9b\x8c\xec\xa6\x88\n\xf0\x9f\x8f\x86#2021HanteoMusicAwards\n\n#ArtistAward\xf0\x9f\x8f\x86 #\xec\x95\x84\xed\x8b\xb0\xec\x8a\xa4\xed\x8a\xb8\xec\x83\x81\xf0\x9f\x8f\x86\nFemale Solo TOP 3\n\n\xf0\x9f\x8f\x86\xeb\xa6\xac\xec\x82\xac #LISA @BLACKPINK\n\n\xec\x88\x98\xec\x83\x81\xec\x9d\x84 \xec\xa7\x84\xec\x8b\xac\xec\x9c\xbc\xeb\xa1\x9c \xec\xb6\x95\xed\x95\x98\xeb\x93\x9c\xeb\xa6\xbd\xeb\x8b\x88\xeb\x8b\xa4\xf0\x9f\x8e\x89\xe2\x80\xa6',1
RUNWAYMODELALISA," Lisa bagged 4 awards today, including Song Of The Year. I love when the kpop global IT girl continues globaling non stop!\xe2\x80\xa6'",1
moneyismylife:), #LISA wins a total of 4 awards at the Asian Pop Music Awards 2021!\n\nSong of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - L\xe2\x80\xa6',1
Lalala :), LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
LEE :), LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
getchuuu, LISA has won SONG OF THE YEAR for LALISA and ROS\xc3\x89 has won BEST MUSIC VIDEO for On The Ground at the Asian Pop Music Award\xe2\x80\xa6',1
meme😼💸, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
Jordy⁴ :) ONE WAY TICKET, Lisa and Ros\xc3\xa9 both won 4 awards at the Asian Pop Music Awards 2021. Congratulations Girls well deserved @BLACKPINK https,1
LALISA⁸, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
lalisa :), Congratulations #LISA for winning Artist Award (Female Solo) at 2021 Hanteo Music Awards \xf0\x9f\x8f\x86 WE ARE SO PROUD OF YOU!! https,1
ลลิส( LISA🌬️ TL YOU🤔|-LS-|, Congratulations Queen LISA\xf0\x9f\x91\x91\xe2\x9d\xa4\xef\xb8\x8f\xf0\x9f\xa5\xb3\xf0\x9f\x8e\x8a\xf0\x9f\x8e\x89\n\nLALISA APMA SOTY \n#VoteLISAforSMA',1
Sakura, Wow tiktok is already a very big platform \xf0\x9f\x98\xa8 Congratulations Lisa \xe2\x9d\xa4\xef\xb8\x8f https,1
𝐅 : 🦕," LISA has won Artist award for Female Solo Artist TOP 3 at #HanteoMusicAwards! \n\nThank you Lilivoters for working hard, sh\xe2\x80\xa6'",1
snowball979, REPLY??\n\nCongratulations Lisa \nLALISA APMA SOTY \n\n #VoteLISAforSMA',1
issdaa manoban," Kita senang kita bangga kita bahagia tapi kami tau penghargaan adalah bonus untukmu intinya lagumu dinikmati, diminati d\xe2\x80\xa6'",1
𝓟𝓻𝓪𝓷, Both #LISA &amp; #ROS\xc3\x89 has won 4 awards at Asian Pop Music Awards 2021 (overseas) \xf0\x9f\x91\xb8\xf0\x9f\x91\x8f\n\nHuge congratulations to our both Sol\xe2\x80\xa6',1
peupeu, #LISA wins a total of 4 awards at the Asian Pop Music Awards 2021!\n\nSong of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - L\xe2\x80\xa6',1
LEE :), Song of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LISA\nTOP 20 Songs of the Year - LALISA\nTOP 20 Albums of the Year - LALIS\xe2\x80\xa6',1
one way ticket to youngro's heart ❄️, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
ไส้ติ่งด้านขวา right ✨, Just imagining how wild and legendary Lisa\xe2\x80\x99s first stage performance of MONEY will be! \n\nCONGRATULATIONS LISA\nLALISA APMA SO\xe2\x80\xa6',1
issdaa manoban, Bkn lisa namanya klo gk menang penghargaan minimal satu\n\nLALISA APMA SOTY\nCONGRATULATIONS LISA https,1
ela erin," @REMEZCLA @lalisadebuts #LISA the only Kpop superstar in the Top 10 fashion moments of 2021.. Congratulations, Queen! htt\xe2\x80\xa6'",1
❤️‍🔥LISA⁰³²⁷ REST💸 :), \xf0\x9f\x8f\x86 | Congratulations #LISA for winning 4 awards at the Asian Pop Music Awards 2021.\n\n\xf0\x9f\x8f\x86 Song Of The Year\n\xf0\x9f\x8f\x86 Top 20 Albums O\xe2\x80\xa6',1
_," LISA has won Artist award for Female Solo Artist TOP 3 at #HanteoMusicAwards! \n\nThank you Lilivoters for working hard, sh\xe2\x80\xa6'",1
Srawut Ariyakannon, LALISA by LISA has won Song of the Year (Overseas) at Asian Pop Music Awards 2021! Congratulations LALISA \xf0\x9f\xa5\xb3\xf0\x9f\x92\x9b https,1
❤️‍🔥LISA⁰³²⁷ REST💸 :), Asian Pop Music Awards 2021 \n\nSong of The Year - LALISA \nPeople\xe2\x80\x99s Choice Award - LISA\nTOP 20 Songs of the Year - LALISA\xe2\x80\xa6',1
issdaa manoban, Congratulations Lisa \xf0\x9f\xa4\x91\n\nLALISA APMA SOTY \n#VoteLISAforSMA https,1
Slightly_Weird, \xf0\x9f\x8f\x86 | Congratulations #LISA for winning 4 awards at the Asian Pop Music Awards 2021.\n\n\xf0\x9f\x8f\x86 Song Of The Year\n\xf0\x9f\x8f\x86 Top 20 Albums O\xe2\x80\xa6',1
Lali Kyn, \xf0\x9f\x8f\x86 | #LISA\xe2\x80\x99s \xe2\x80\x9cLALISA\xe2\x80\x9d has won SONG OF THE YEAR at the Asian Pop Music Awards 2021. \n\nCONGRATULATIONS LISA!\n#BLACKPINK #\xe2\x80\xa6',1
Louise Reichstein," Congratulations to #LISA for winning ""Song of the Year (Overseas)"" for \'LALISA\' at the Asian Pop Music Awards 2021.\n\n\xeb\xb8\x94\xe2\x80\xa6'",1
